image_name,category,source,url
modern_001.jpg,modern,Pexels,https://images.pexels.com/photos/29247153/pexels-photo-29247153.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
modern_002.jpg,modern,Pexels,https://images.pexels.com/photos/14537775/pexels-photo-14537775.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
modern_003.jpg,modern,Pexels,https://images.pexels.com/photos/28446629/pexels-photo-28446629.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
modern_004.jpg,modern,Pexels,https://images.pexels.com/photos/4067525/pexels-photo-4067525.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
modern_005.jpg,modern,Pexels,https://images.pexels.com/photos/12049017/pexels-photo-12049017.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
modern_006.jpg,modern,Pexels,https://images.pexels.com/photos/18207062/pexels-photo-18207062.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
modern_007.jpg,modern,Pexels,https://images.pexels.com/photos/36977686/pexels-photo-36977686.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
modern_008.jpg,modern,Pexels,https://images.pexels.com/photos/207675/pexels-photo-207675.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
modern_009.jpg,modern,Pexels,https://images.pexels.com/photos/33217714/pexels-photo-33217714.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
modern_010.jpg,modern,Pexels,https://images.pexels.com/photos/37345348/pexels-photo-37345348.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
modern_011.jpg,modern,Pexels,https://images.pexels.com/photos/32231937/pexels-photo-32231937.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
modern_012.jpg,modern,Pexels,https://images.pexels.com/photos/34595147/pexels-photo-34595147.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
modern_013.jpg,modern,Pexels,https://images.pexels.com/photos/33320634/pexels-photo-33320634.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
modern_014.jpg,modern,Pexels,https://images.pexels.com/photos/18207066/pexels-photo-18207066.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
modern_015.jpg,modern,Pexels,https://images.pexels.com/photos/34670731/pexels-photo-34670731.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
modern_016.jpg,modern,Pexels,https://images.pexels.com/photos/532573/pexels-photo-532573.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
modern_017.jpg,modern,Pexels,https://images.pexels.com/photos/14708812/pexels-photo-14708812.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
modern_018.jpg,modern,Pexels,https://images.pexels.com/photos/10841364/pexels-photo-10841364.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
